run:0
#position1, #position2, #zone1, #zone2,reward1,reward2, #reward sum, #tier uav1, #tier uav2
721.91, 865.80, 14, 17,10.50,14.50, 25.00, 2, 2
339.96, 971.34, 6, 19,9.79,11.50, 21.29, 1, 2
972.21, 256.48, 19, 5,11.50,9.50, 21.00, 1, 2
15.62, 804.98, 0, 16,5.00,15.00, 20.00, 2, 2
423.96, 911.02, 8, 18,6.54,13.00, 19.54, 2, 2
225.95, 970.07, 4, 19,8.00,11.50, 19.50, 2, 2
127.16, 760.50, 2, 15,6.00,13.50, 19.50, 2, 2
873.76, 61.69, 17, 1,13.62,5.00, 18.62, 1, 2
764.35, 108.78, 15, 2,13.50,5.00, 18.50, 2, 1
167.75, 937.14, 3, 18,6.00,11.50, 17.50, 2, 2
968.88, 102.68, 19, 2,11.50,5.00, 16.50, 1, 2
507.62, 868.18, 10, 17,0.00,14.50, 14.50, 1, 2
680.55, 207.55, 13, 4,8.50,5.00, 13.50, 2, 1
561.61, 59.97, 11, 1,7.00,5.00, 12.00, 2, 1
387.47, 542.94, 7, 10,8.89,1.52, 10.41, 2, 2
