#pos1     pos2      z1    z2    rew1      rew2      rew sum     tier uav1   tier uav2   rew avg multiple hits
#1        2         3     4     5         6         7           8           9           10         
2.75      864.19    0     16    5.00      14.50     19.50       2           2           9.70       
933.24    841.61    17    16    11.50     14.50     26.00       2           2           9.02       
850.08    96.58     16    1     14.50     5.00      19.50       2           1           7.46       
957.96    876.13    18    16    11.50     14.50     26.00       2           2           7.36       
1011.19   1029.34   19    19    9.50      9.50      19.00       2           1           6.96       
517.74    321.60    9     6     5.54      10.00     15.54       2           2           6.76       
825.03    926.92    15    17    15.00     13.00     28.00       2           2           6.29       
330.12    205.52    6     3     8.91      7.00      15.91       2           2           6.06       
199.81    802.13    3     15    5.00      15.00     20.00       1           2           5.88       
113.51    822.92    2     15    5.00      15.00     20.00       1           2           5.15       
